timestamp,scenario,strategy,co2_flow_rate,co2_concentration,electricity_price,heat_price,ambient_temp,capture_target,max_capacity,tADS,PL,v0,t_press,t_depress,capacity_factor,affinity_factor_co2,mtc_factor,dax_factor,deactivation_index,pred_CO2_purity,pred_CO2_recovery,pred_CO2_purity_std,pred_CO2_recovery_std,cycle_time_s,n_CO2_feed_calc,n_N2_feed_calc,n_CO2_product_calc,n_N2_product_calc,co2_product_kg_per_cycle,annual_capture_t_per_bed,vacuum_energy_kwh_per_cycle,blower_energy_kwh_per_cycle,compression_energy_kwh_per_cycle,specific_energy_kwh_per_tco2,energy_cost_per_tco2,capex_proxy_cost_per_tco2,fixed_om_cost_per_tco2,adsorbent_cost_per_tco2,unrecovered_cost_per_tco2,purity_penalty_per_tco2,recovery_penalty_per_tco2,uncertainty_penalty_per_tco2,domain_penalty_per_tco2,valve_cycling_penalty_per_tco2,velocity_penalty_per_tco2,vacuum_practicality_penalty_per_tco2,bound_proximity_penalty_per_tco2,total_cost_per_tco2,aux_heat_cost_per_tco2,adjusted_total_cost_per_tco2,inlet_co2_tph,captured_tph,captured_tons_interval,interval_total_cost,cumulative_total_cost,cumulative_captured_tons,cumulative_cost_per_tco2
2026-01-01 00:00:00,price_volatile,dynamic_reoptimized,1000.0,0.2,85.0,42.68163876002333,22.0,0.72,7.0,171.1482807923846,0.3348894204418204,0.029818476217460525,38.48123243159523,51.040997876287875,0.864267229249079,0.9151958618303451,0.9573564483550596,1.043143472100417,0.4572863258126616,0.4274241328239441,0.6554005146026611,0.0,0.0,414.7039638134139,0.18317973838564724,0.7326661729008025,0.12005609480273405,0.16082672294912445,0.005283668732268326,0.36693562822513287,0.0006634419701548854,2.696447742492102e-06,0.002292044126771288,559.8728259783787,47589.19020816219,5450.547306278208,1090.1094612556417,2059.1562135841014,26289.229083551563,0.0,625.964599609375,0.0,0.0,0.0,587.7546092561413,0.0,255.67785545997413,83947.6293371572,14.72730858948634,83962.35664574668,8.802,6.337439999999999,1.5843599999999998,133026.5993752552,133026.5993752552,1.5843599999999998,83962.35664574668
2026-01-01 00:15:00,price_volatile,dynamic_reoptimized,1031.204649578002,0.20263518392508353,80.0,44.59131271704564,22.19559156011855,0.7204726569652421,7.044406082702809,161.52791174375542,0.3144917287216036,0.029380986009137623,48.65988337243695,47.59024906415297,0.8624192931092564,0.9138970287498452,0.9564570541956522,1.0440365208326718,0.4634816812439503,0.41833093762397766,0.6583936810493469,0.0,0.0,403.1531647497252,0.1725643077044914,0.6789867003273744,0.11361524976729227,0.15797655216492618,0.005000207142258533,0.3571991448620866,0.0007159936076684139,2.4679204304535293e-06,0.002216573612458474,586.982710326601,46958.61682612808,5599.117547641928,1119.8235095283856,2133.322432190934,25942.40564446195,0.0,578.0694580078125,0.0,0.0,0.0,502.69115330789634,0.0,0.0,82834.046571267,15.48820175672956,82849.53477302373,9.196256712030467,6.625651507451032,1.656412876862758,137233.03624012534,270259.63561538054,3.2407728768627577,83393.5748922357
2026-01-01 00:30:00,price_volatile,dynamic_reoptimized,1010.9822555308032,0.2022403923090752,88.0,42.6738827879369,22.78343220819381,0.7202471293883592,7.013146425528885,176.48920831161666,0.3132959982579351,0.030329772592831993,43.85967079278795,70.0380586473616,0.8609238367465295,0.9130418010454096,0.9559997134139688,1.0443997074798101,0.4698329946664183,0.44669201970100403,0.6567057967185974,0.0,0.0,449.2272252322212,0.19416714261167056,0.7658536139238646,0.12751068808537064,0.15794480756202264,0.005611745382637162,0.3597695285195686,0.0007578279334337265,2.8785413321396127e-06,0.0023308123973938156,550.901486322757,48479.33079640262,5559.114492630567,1111.8228985261135,2136.4408420466543,26137.595023278463,0.0,605.6255493164062,0.0,0.0,0.0,695.5906436973446,0.0,2910.8680293666607,87636.38827526482,14.91466415891144,87651.30293942374,8.998348325426548,6.48103455062502,1.620258637656255,142017.7806894264,412277.41630480695,4.861031514519013,84812.74294836592
2026-01-01 00:45:00,price_volatile,dynamic_reoptimized,996.5354745182758,0.20378852178192824,82.31221985708495,45.03605024376163,23.03160719770457,0.7241527985269024,6.980796705549762,167.35458103346332,0.2431863219521419,0.030261917947975503,54.74286818018116,47.655613191712206,0.86174951191339,0.9135769412032402,0.9562167638321342,1.0440199530102754,0.46667786734743955,0.4362199008464813,0.6728640794754028,0.0,0.0,420.37218533547366,0.1850751211237651,0.7230412848040927,0.12453040100874088,0.1609457935798037,0.005480582948394686,0.3754786696646063,0.0011390029121702886,2.716454924304609e-06,0.002331442217643706,633.7211967124083,52162.998471886734,5326.534265678756,1065.3068531357512,2038.318135954237,24309.212700107873,0.0,394.5799865722656,0.0,0.0,0.0,680.7572289440579,0.0,1.2406932940517006,85978.94833557372,15.734490464402134,85994.68282603812,8.937660440147155,6.4722318200157485,1.6180579550039371,139144.38063471142,551421.7969395183,6.47908946952295,85107.91516822795
2026-01-01 01:00:00,price_volatile,dynamic_reoptimized,1003.6114778465625,0.2037028533791913,90.54344184279346,44.15245417814593,23.271861346589287,0.7162502622083203,6.991356245519263,173.35087206989482,0.3009263195250266,0.030502089247857897,30.913585976438256,52.751296219811735,0.8601309618174764,0.9123119713322287,0.9558186588658293,1.043336148943072,0.47328146219493195,0.4275268018245697,0.6595059037208557,0.0,0.0,413.0315391290501,0.1931104939663388,0.754827641229333,0.12735751084125113,0.17053611010174907,0.005605004052123462,0.3908275795149856,0.0008470486865482323,2.8598820403365173e-06,0.002433319023017889,585.7672110625153,53037.37940825418,5117.346126089634,1023.4692252179268,1975.8398873514507,25814.33269650174,0.0,482.98797607421875,0.0,0.0,0.0,733.978551859536,0.0,655.3223147852864,88840.65618613397,15.440602316974871,88856.09678845094,8.997339340961094,6.44434666214062,1.611086665535155,143154.87268737442,694576.6696268928,8.090176135058105,85854.33222114938
2026-01-01 01:15:00,price_volatile,dynamic_reoptimized,996.499769299769,0.2013298543777351,81.48909765851411,43.85383340243675,23.37665717395135,0.7168589711873222,6.983726004459256,155.39084918066163,0.30000870360504117,0.03024999193977754,66.60761748334288,59.64556157250881,0.8608558107675561,0.9129235721664402,0.9557950777346856,1.044057227751823,0.4699263622625739,0.41476717591285706,0.6607273817062378,0.0,0.0,421.4957924991088,0.16965806756256485,0.6729756672656027,0.11209773076595347,0.1581689166851409,0.004933421131009612,0.3370912144357343,0.0007724991815543521,2.5209687336210247e-06,0.0022078346270840224,604.6219647909039,49270.09833532865,5933.112209251291,1186.622441850258,2280.4611447375237,25674.17574080532,0.0,472.6134948730469,0.0,0.0,0.0,678.1666535986844,0.0,184.85735132875874,85680.10737177353,15.291347981611562,85695.39871975513,8.829513002919446,6.329515607357918,1.5823789018394796,135602.59091886246,830179.2605457553,9.672555036897585,85828.3315400013
2026-01-01 01:30:00,price_volatile,dynamic_reoptimized,1008.4100029343575,0.2063298543777351,82.56425939018207,43.08053396484444,23.83792094661615,0.7181100633770753,7.049703402373881,171.60975031713724,0.31901279175748964,0.029481858981050803,43.09360122573548,40.363880410302,0.8612313046640203,0.9134008935483955,0.9563609107654737,1.0436909549356188,0.4700455124284963,0.4297526478767395,0.6544689536094666,0.0,0.0,409.51600723859826,0.1870752223883563,0.7195451948479212,0.1224349250427658,0.1624613417927611,0.005388361051132123,0.3789468434189658,0.0007337838357258676,2.639044988900574e-06,0.0023282001453747846,568.7486411931619,46958.31033928581,5277.785089738269,1055.5570179476538,2028.9054949999788,26397.81799311431,0.0,607.5289916992188,0.0,0.0,0.0,521.7148938910996,0.0,17.344558098560967,82864.9643787749,15.036977995896882,82880.0013567708,9.156944569464471,6.575694045118497,1.6439235112796242,136248.38284528267,966427.643391038,11.316478548177209,85400.0331708051
2026-01-01 01:45:00,price_volatile,dynamic_reoptimized,981.9575817945106,0.20763495611956834,90.82068532920029,45.44821174288196,24.179416666384544,0.7185023969836689,6.971673263617888,166.31957017373477,0.3064635319853239,0.029345302998542686,39.92218923193297,63.142764156389035,0.8598733472172068,0.9126099719806164,0.9558325924124746,1.0447142952018569,0.4750504536843484,0.4212029278278351,0.6570106744766235,0.0,0.0,419.07213671841805,0.18156091625193457,0.6928037507925399,0.1192874600452773,0.16391917438030032,0.005249841116592654,0.36078615329049973,0.0007814899109304017,2.532956975732531e-06,0.002315021348397085,590.3120013495983,53612.54052062232,5543.449995958214,1108.6899991916425,2145.460585923503,26102.264304655535,0.0,567.1848754882812,0.0,0.0,0.0,496.04625253870535,0.0,0.0,89575.63653437821,15.947471090344354,89591.58400546855,8.97314254111002,6.44722442426368,1.61180610606592,144404.26215213203,1110831.90554317,12.928284654243129,85922.60576337088
2026-01-01 02:00:00,price_volatile,dynamic_reoptimized,1025.9387569748362,0.20263495611956833,93.09706044619818,46.638561549689314,24.320700315210008,0.7163373580676613,7.040752742213569,165.63760644540022,0.32866980601700796,0.030860839490392637,51.11151204874892,70.5795783604016,0.8591726144604438,0.912250850473268,0.9552823428721919,1.0453515498604675,0.47742665038826027,0.44478175044059753,0.6535699367523193,0.0,0.0,436.4025426554109,0.18555498904138545,0.7300929239682908,0.1212731624518556,0.15138451452680057,0.0053372318795061645,0.3522258994974526,0.0006669364644960014,2.7993703393300306e-06,0.002229041360481705,543.1237129583454,50563.221135046675,5678.174157134816,1135.634831426963,2204.618449443144,26502.906863276196,0.0,590.962890625,0.0,0.0,0.0,817.2069186272761,0.0,995.4588657825121,88488.18411136257,16.378701075751767,88504.56281243832,9.149285330592269,6.553974881923675,1.6384937204809187,145014.17040208922,1255846.075945259,14.566778374724047,86213.02827839926
2026-01-01 02:15:00,price_volatile,dynamic_reoptimized,1015.4790805852281,0.2070253991736837,93.05657499153995,43.840247856707954,24.324671698609738,0.7153414647813107,6.982095417677635,173.23633901067342,0.26430062049973735,0.03014738724862305,40.836324045794015,48.81584998737995,0.8576790679655252,0.9112278349314858,0.9550682144786977,1.0451597776314203,0.4838608557693247,0.4361894130706787,0.6668996214866638,0.0,0.0,418.80121815345353,0.1936888175933302,0.7418226869590697,0.1291709991391914,0.1669641092988049,0.005684815672115813,0.3909317458024813,0.001040337483689352,2.788789374416406e-06,0.0024209825960750837,609.3616871573176,56705.111537926234,5115.982576177127,1023.1965152354254,2003.4578885180076,24973.80173726769,0.0,351.9916076660156,0.0,0.0,0.0,656.0828122314804,0.0,428.3756783461154,91258.0003533681,15.483790964611941,91273.48414433272,9.252220628090122,6.618497056577846,1.6546242641444615,151023.3215382177,1406869.397483477,16.221402638868508,86729.20762797922
