case_id,tADS,PL,v0,t_press,t_depress,capacity_factor,affinity_factor_co2,mtc_factor,dax_factor,deactivation_index,pred_CO2_purity,pred_CO2_recovery,pred_CO2_purity_std,pred_CO2_recovery_std,cycle_time_s,n_CO2_feed_calc,n_N2_feed_calc,n_CO2_product_calc,n_N2_product_calc,co2_product_kg_per_cycle,annual_capture_t_per_bed,vacuum_energy_kwh_per_cycle,blower_energy_kwh_per_cycle,compression_energy_kwh_per_cycle,specific_energy_kwh_per_tco2,energy_cost_per_tco2,capex_proxy_cost_per_tco2,fixed_om_cost_per_tco2,adsorbent_cost_per_tco2,unrecovered_cost_per_tco2,purity_penalty_per_tco2,recovery_penalty_per_tco2,uncertainty_penalty_per_tco2,domain_penalty_per_tco2,total_cost_per_tco2,co2_mol_frac,h2o_ppmv,sox_ppmv,nox_ppmv,dust_mg_Nm3
1,180.0,0.34820675606311235,0.032,20.20284979296149,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43135136,0.65199935,0.0,0.0,437.2028497929615,0.18636228239041422,0.8489700643222896,0.1215080877960697,0.1601835864005449,0.005347570943905027,0.35226221251164447,0.000379656579089942,3.287562466685632e-06,0.0022949801650862397,500.7739653636706,55085.13619000377,5677.588821519957,1135.5177643039913,1538.4131760703524,26687.192503264094,43926.305,15376.077,0.0,61.38773047294225,149487.61802157262,0.18,10.0,0.2,3.0,0.02
1,180.0,0.34739759988298863,0.032,20.19246863605752,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.4312137,0.6522194,0.0,0.0,437.1924686360575,0.18636228239041422,0.8489700643222896,0.12154909874488179,0.1603275977165244,0.0053493758357622476,0.3523894740240876,0.00038083984167719566,3.287562466685632e-06,0.0022964875664995307,501.10798959434936,55121.87885537843,5675.538423895402,1135.1076847790805,1537.8575953791546,26661.31806603033,43952.113,15348.802,0.0,61.38773047294225,149494.00339499785,0.18,10.0,0.2,3.0,0.02
1,180.0,0.3479062964609369,0.032,20.622706363897876,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43128878,0.6520613,0.0,0.0,437.62270636389786,0.18636228239041422,0.8489700643222896,0.12151962906795913,0.16023968173806905,0.005348078875280882,0.3519576780826649,0.0003800940595867705,3.287562466685632e-06,0.0022955312096901693,500.91124200237766,55100.236620261545,5682.501404416745,1136.500280883349,1539.7443013938896,26679.90917178994,43938.04,15368.399,0.0,61.38773047294225,149506.7179857809,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.14890500062912,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43163857,0.65152276,0.0,0.0,437.14890500062916,0.18636228239041422,0.8489700643222896,0.12141926776716896,0.15987919110602106,0.005343661974433106,0.35204815362273856,0.00037707063789188717,3.287562466685632e-06,0.0022917765866686634,500.0568523630681,55006.25375993749,5681.0410150403395,1136.2082030080678,1539.348590762232,26743.29034325039,43872.48,15435.231,0.0,93.18570904030359,149507.0395351013,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.15821032850362,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.4316385,0.65152156,0.0,0.0,437.1582103285036,0.18636228239041422,0.8489700643222896,0.12141904560601614,0.15987895418553902,0.00534365219712077,0.3520400158135696,0.00037707002250918795,3.287562466685632e-06,0.0022917728464684987,500.0569522253247,55006.264744785716,5681.17233882623,1136.2344677652459,1539.3841745723487,26743.43076090702,43872.492,15435.38,0.0,93.18570904030359,149507.54426620936,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.159318851916904,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.4316385,0.65152144,0.0,0.0,437.1593188519169,0.18636228239041422,0.8489700643222896,0.12141902338990086,0.1598789249323913,0.005343651219389537,0.3520390587179721,0.0003770699535164608,3.287562466685632e-06,0.0022917724271414525,500.0569523378932,55006.264757168254,5681.187784342571,1136.237556868514,1539.3883597267509,26743.44480270094,43872.492,15435.395,0.0,93.18570904030359,149507.59568859733,0.18,10.0,0.2,3.0,0.02
1,180.0,0.34974584866373304,0.032,20.99376017993252,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.4315922,0.6515357,0.0,0.0,437.9937601799325,0.18636228239041422,0.8489700643222896,0.12142167821567716,0.159912589777931,0.005343768058271952,0.35137605616803363,0.0003774092738759232,3.287562466685632e-06,0.002292068328415462,500.16489031943115,55018.13793513743,5691.907473181861,1138.3814946363723,1542.2929924981893,26741.76684470844,43881.168,15433.625,0.0,61.38773047294225,149508.66743938526,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.190334041219334,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.4316383,0.65151757,0.0,0.0,437.19033404121933,0.18636228239041422,0.8489700643222896,0.12141830136615417,0.15987810177585643,0.005343619443124445,0.35201199106903014,0.0003770678822569282,3.287562466685632e-06,0.002291759838348731,500.05718249837497,55006.29007482125,5681.624634223886,1136.324926844777,1539.5067296254008,26743.90116380077,43872.53,15435.876,0.0,93.18570904030359,149509.24046491887,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.247692439639675,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43163788,0.65151036,0.0,0.0,437.24769243963965,0.18636228239041422,0.8489700643222896,0.12141695729117956,0.15987660386448765,0.005343560290384812,0.35196191775060576,0.0003770640726747226,3.287562466685632e-06,0.0022917366843016474,500.05767208263825,55006.34392909021,5682.432954059439,1136.4865908118877,1539.7257539197951,26744.75071199658,43872.61,15436.772,0.0,93.18570904030359,149512.3074848557,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.26159382402588,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.4316378,0.65150857,0.0,0.0,437.2615938240259,0.18636228239041422,0.8489700643222896,0.12141662404945032,0.15987623171472412,0.0053435456244163085,0.3519497622403209,0.00037706312712236804,3.287562466685632e-06,0.00229173093738176,500.0577921074068,55006.357131814744,5682.629211820139,1136.5258423640278,1539.7789323965146,26744.961346690452,43872.63,15436.995,0.0,93.18570904030359,149513.06219756367,0.18,10.0,0.2,3.0,0.02
1,180.0,0.34546003229067623,0.032,20.321656846105462,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43088,0.65273917,0.0,0.0,437.3216568461055,0.18636228239041422,0.8489700643222896,0.1216459610075149,0.16067384531483447,0.005353638743940731,0.35256611103472296,0.00038368923692955117,3.287562466685632e-06,0.0023000976424619062,501.91553266446755,55210.70859309143,5672.694956785076,1134.5389913570152,1537.0871226651623,26600.275441492606,44014.707,15284.477,0.0,61.38773047294225,149515.87642961426,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.038200869747072,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43163934,0.65153664,0.0,0.0,437.0382008697471,0.18636228239041422,0.8489700643222896,0.12142185594459942,0.1598821108779108,0.00534377588012182,0.3521448354885946,0.0003770780211031993,3.287562466685632e-06,0.0022918214606766586,500.05597244202283,55006.15696862251,5679.481277142788,1135.8962554285574,1538.9259604154,26741.654515413135,43872.336,15433.507,0.0,108.69711351113689,149516.65486397102,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.342405604960955,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.4316372,0.65150005,0.0,0.0,437.34240560496096,0.18636228239041422,0.8489700643222896,0.1214150355972076,0.1598745285399012,0.0053434757166331065,0.3518801256561429,0.00037705871481267286,3.287562466685632e-06,0.002291704120050904,500.05848983513414,55006.43388186475,5683.753796184554,1136.7507592369107,1540.083652491295,26745.965387955766,43872.74,15438.054,0.0,93.18570904030359,149516.96517896108,0.18,10.0,0.2,3.0,0.02
