scenario,strategy,avg_cost_per_tco2,final_cumulative_cost_per_tco2,total_captured_tons,total_cost
price_volatile,dynamic_reoptimized,134776.90014468666,131992.6253988245,303.87472947524327,40109223.33579491
price_volatile,static_average_condition,136651.5935891827,133745.91462245557,303.87472947524327,40642003.62431767
price_volatile,static_first_step,141054.93870766953,137960.69967997682,303.87472947524327,41922770.29346824
