,sample_id,tADS,PL,v0,t_press,t_depress,h2o_ppmv,sox_ppmv,nox_ppmv,dust_mg_Nm3,co2_mol_frac,n2_mol_frac_effective,capacity_factor,affinity_factor_co2,mtc_factor,dax_factor,deactivation_index,CO2_purity,CO2_recovery,n_CO2_feed,n_N2_feed,n_CO2_product,n_N2_product,n_CO2_dynamic_product,n_N2_dynamic_product,n_CO2_available,bed_y_CO2_before_blowdown,bed_y_N2_before_blowdown,n_CO2_void_tail,n_N2_void_tail,valid_physics,status_detail,n_cycles,status
0,1,121.23163934889332,0.2422831363499956,0.0117611244295445,64.86467400162229,38.00855517074108,27.90615984075618,0.988693741521566,7.974843291810111,0.0793481047876727,0.1830069042680111,0.8169863480741185,0.8404123704536625,0.8957451062748614,0.9451574349555028,1.0589455360533957,0.5228486275764733,0.1638976341305459,0.6379359105959,0.0469035386292372,0.2093808321576626,0.0299214516256124,0.152640375970872,11.255813985178666,0.1495939017822516,11.46073953021693,0.7990464356879732,0.2009535643120268,0.2049255450382641,0.0515370782657554,True,ok,10,ok
1,2,163.80690167126866,0.3383927422096313,0.0285942861712933,59.693324310476974,65.95404137618112,9.681632686603562,0.8841487758933129,6.019090779199533,0.0870908368597769,0.2355618572534414,0.7644342359184568,0.8666244140209284,0.9130902218930664,0.9520024067276256,1.0563611574837286,0.4159821194509332,0.4905160590822472,0.6927173564815187,0.1983265819705235,0.6435894016351037,0.1373842655826363,0.1426968103350033,7.030726432052543,0.1293567562061032,7.147576634982445,0.6961576537763704,0.3038423462236296,0.1168502029299026,0.0509999992420308,True,ok,10,ok
2,3,82.47203684371874,0.2309023372595459,0.0220714909204118,50.16823063221825,40.97181235863739,43.930029074418286,0.1383110176523475,2.153060652311205,0.0492243504692854,0.1979299644072952,0.8020608865696198,0.8943591935726661,0.9384445030964332,0.9685463996934404,1.0347019479337445,0.3554598465336192,0.2279661742244512,0.6900668284539206,0.0647630526493901,0.2624236843578402,0.0446908343427589,0.1513506814426363,12.074273674262304,0.1468597548839954,12.263333985139528,0.7893003849788871,0.2106996150211129,0.1890603108772233,0.0504686624708392,True,ok,10,ok
3,4,96.36681340502696,0.1626681982454886,0.0211142039091116,53.25427567867865,26.81073956716257,57.54425946289713,0.7231558737008743,7.336067900288668,0.0480123829479439,0.2499247875283031,0.7500588154593866,0.8477532363005835,0.9017712284959568,0.9526733260835804,1.0450960759798344,0.514483126375875,0.3178610703172519,0.7226661359045955,0.0914107627476475,0.2743183303414269,0.0660594626949341,0.1417654924938258,14.988749447233104,0.1402401790799986,15.151835542437013,0.7810320241229725,0.2189679758770275,0.1630860952039091,0.0457223661226797,True,ok,10,ok
4,5,113.61398696228687,0.1801265282582844,0.0315342920716528,20.34173942115484,60.884986824745006,44.61559542861462,0.0201415418260989,9.788496513677485,0.0336951761959274,0.2158925096573581,0.784095739918781,0.883245955087835,0.9321613201619658,0.9737479818664344,1.043017503578932,0.4074726287279911,0.3890940792030731,0.7081938647012163,0.1390379632495988,0.5049417488565701,0.098465832533919,0.1545984976547921,13.522129476577575,0.1476327865945169,13.635936989429467,0.7006122255687041,0.2993877744312959,0.113807512851894,0.0486325769702807,True,ok,10,ok
5,6,144.07511838441053,0.1688826928219627,0.0140645351321512,51.6325103136176,62.56687215237702,88.62818326341059,0.6255782016100817,8.222669778554245,0.0284930891518587,0.2349562949374212,0.7650208001287588,0.8459610493994995,0.900679687240497,0.9557336432429592,1.0390084050130488,0.5312511094191241,0.2923953199446804,0.7041755343091386,0.0855856764084689,0.2786409294160736,0.0602673394141426,0.1458486115030776,14.533678420173985,0.143145120659196,14.693328872581857,0.7732553833551407,0.2267446166448593,0.1596504524078713,0.0468149092882231,True,ok,10,ok
6,7,141.3700184987671,0.3252199904256189,0.0172425610929364,37.041191039512654,65.11377199504001,3.303014720253912,0.5650956405879481,1.9287476407375412,0.0200257428090183,0.1780538985905883,0.8219450692502617,0.9186232314652965,0.9424484307224994,0.9749636675695392,1.016031111543297,0.2247358138218062,0.2525325622393727,0.6747343914361739,0.0780136131503799,0.3601299014486651,0.0526384677927586,0.1558038309982514,8.318968394168209,0.1475371818675841,8.480996637189557,0.7490612396879958,0.2509387603120042,0.1620282430213489,0.0542801633365051,True,ok,10,ok
7,8,152.14233018384758,0.1298855623255832,0.0295283997857814,68.04418868305999,31.371380216776476,56.6608756580417,0.7078979077012449,6.60587304844571,0.0616111798582771,0.1795510812122795,0.8204374313358451,0.8485653560742924,0.9037013783015811,0.9510973162847306,1.0497222006507148,0.5105388331847366,0.3718784805022754,0.6589817439060129,0.1449983580991289,0.6625104627973175,0.0955512708836725,0.1613909182814999,15.78070007587343,0.1593100620393608,15.878825259463516,0.6635728078084308,0.3364271921915692,0.0981251835900873,0.0497488438495895,True,ok,10,ok
8,9,159.4292667954001,0.2559411697255048,0.0280019007062358,25.03981670182858,69.5485814217476,10.753456869545987,0.459272265597856,6.9623670355929415,0.0817247417688867,0.1555999799250825,0.8443971919789172,0.8846574254449107,0.9298623855079614,0.9629112532131952,1.0560401594197952,0.3662520854214064,0.2825880804623424,0.6389309327345455,0.1248620007111496,0.6775785355433886,0.0797781945774763,0.2025344721385125,3.240825423149488,0.1983440017748925,3.264194148622638,0.2983770014123484,0.7016229985876515,0.02336872547315,0.0549507340111119,True,ok,10,ok
9,10,170.97078266007156,0.1507382478515638,0.0214632751785045,49.94304568077248,27.29045707023917,64.3256610641712,0.0171334177707002,8.74899407661734,0.094859416157624,0.1962924135004421,0.8036932380872235,0.8705951138545858,0.9303541701619406,0.96270312161906,1.069240577629377,0.4544444886929941,0.3258149093755195,0.684906627150009,0.1294823140261797,0.5301094023493961,0.0886832949752491,0.1835058910421309,9.889022487647496,0.1901250313983611,9.91639158844243,0.3548978305407327,0.6451021694592673,0.0273691007949351,0.0497491525154184,True,ok,10,ok
