sample_id,tADS,PL,v0,t_press,t_depress,co2_mol_frac_wet,o2_mol_frac_wet,h2o_mol_frac_wet,sox_ppmv_raw,nox_ppmv_raw,dust_mg_Nm3_raw,kiln_exit_temp_c,feed_temp_c,dehumidification_efficiency,desulfurization_efficiency,denox_efficiency,dedusting_efficiency,co2_mol_frac_dry,o2_mol_frac_dry,n2_mol_frac_wet,inert_mol_frac_effective,h2o_ppmv_residual,sox_ppmv_residual,nox_ppmv_residual,dust_mg_Nm3_residual,capacity_factor,affinity_factor_co2,mtc_factor,dax_factor,deactivation_index,oxidative_stress_index,cooling_load_index,CO2_purity,CO2_recovery,n_CO2_feed,n_N2_feed,n_CO2_product,n_N2_product,n_CO2_dynamic_product,n_N2_dynamic_product,n_CO2_available,bed_y_CO2_before_blowdown,bed_y_N2_before_blowdown,n_CO2_void_tail,n_N2_void_tail,valid_physics,status_detail,n_cycles,status
1,166.05953468860037,0.1574308142592316,0.012475884261633412,69.930102843906,55.266960220949535,0.24534764965871494,0.016607873560188214,0.12205527040950123,72.65779292675967,175.55533946174228,7.628827873974669,461.0517911828996,79.89961146082953,0.993103977928492,0.9432519351134444,0.4245687846442511,0.9949739592176865,0.2794568284192023,0.018916764347950074,0.6159892063715956,0.7205431715807977,841.6958386877939,4.1231891475216775,101.02002234866143,0.03834280001584669,0.9257792663726166,0.9470387553414946,0.9623523733121795,1.0353045619367105,0.15235771729265415,0.3969105034967011,0.9979922292165907,0.2876664798155774,0.7687669895496995,0.09230470895697981,0.2379957151876652,0.07096081322611855,0.17571656563154825,0.6003309378768553,0.18302787527202774,0.6052749212998351,0.11809229530927706,0.8819077046907229,0.0049439834229797145,0.03692143557011971,True,ok,10,ok
2,133.51767308867124,0.17097716809070307,0.013067803626293137,33.65996735980263,70.7582307705535,0.27293224905869384,0.008008093337021235,0.08271053277174267,68.49308325368207,250.10626570019377,65.80413935033812,954.066335898482,48.18064944942634,0.9788778166948303,0.8579852145519289,0.6847261397695579,0.94487780624342,0.29754211599464236,0.0087301703803697,0.6363491248325422,0.7024578840053577,1747.0270344729931,9.727030522948532,78.85196785512072,3.627268519254329,0.8806827896509084,0.9319218317627384,0.9533265165251372,1.0372363975543104,0.26227507718551957,0.2172379809217869,0.3636129889885268,0.2788489452383295,0.7829160920127428,0.0909384118449981,0.21469365486597325,0.07119714601553123,0.18412799410533143,6.367763529765632,0.1894956797240561,6.382785472306968,0.2712455094698417,0.7287544905301583,0.015021942541335608,0.04035940762625422,True,ok,10,ok
3,199.1260670050859,0.0874972160389139,0.02389500167303765,58.454535719903426,75.00555586909267,0.25812201536060214,0.009263477016055736,0.11717613829917307,225.45702192607743,59.5564501587887,47.37044804452576,516.1912079022795,59.806554709497064,0.9668590657474169,0.9650603896015792,0.6687242367286039,0.9297950811460843,0.29238223677292835,0.010493007062823322,0.6154383693241691,0.7076177632270717,3883.326695344483,7.87738050768535,19.729608484087585,3.325638461039559,0.8478029983921341,0.9075390278540013,0.9226395333164841,1.0315102554616098,0.3478849424628668,0.13815350826917794,0.5961310941899413,0.576327865083498,0.7675068012648064,0.23518429204451013,0.5691884175984508,0.18050554369481003,0.1326938600311551,19.486529618036673,0.1272143588566516,19.621138007856413,0.7860952080371739,0.21390479196282608,0.13460838981973874,0.03662836171300077,True,ok,10,ok
4,117.05340940521785,0.09932332252633552,0.03319246334878695,39.88287013559729,49.2215056508509,0.2847168976659389,0.008481567565678746,0.13899667721151915,207.7264476463386,323.07226594250955,86.08763046197642,434.0308157883996,35.2118275602753,0.9540065404950735,0.956197003245681,0.4321299863110211,0.9169953814371181,0.33068037036586917,0.009850795393227973,0.5678048575568633,0.6693196296341308,4000.0,9.099040912038781,183.46305208330233,7.145670929478683,0.8120153284505437,0.8880934695899528,0.9214075529754069,1.0653325434839989,0.4656184484487531,0.41580538381808085,0.10423655120550607,0.580229504879436,0.7992079807418445,0.23452064077357293,0.47468577663214173,0.1874307677549307,0.13559790655193055,17.056345314836562,0.12942226388356964,17.148233551484118,0.7090339455237828,0.29096605447621715,0.09188823664755588,0.037708149008811406,True,ok,10,ok
5,188.72668312061765,0.1266206473458002,0.01032587967199819,54.05025373412924,40.075184655084826,0.2940246803154303,0.04842676276538855,0.151397525024555,92.16825760125295,113.59007289338666,115.8072698340487,592.4954126011884,60.00706236673841,0.9811295742353227,0.9229458876610999,0.5211444453916999,0.9973372784972229,0.34648105442296534,0.05706648777661156,0.5061510318946262,0.6535189455770347,2856.9357569317463,7.101943275287631,54.39323735335991,0.308362507565035,0.8742922195017977,0.9078292108165783,0.9448087126946451,1.0217036230875247,0.32264316648125335,0.7451881653683798,0.6001412473347681,0.4043748392384453,0.8176100842801919,0.11407764600200505,0.21516877179129004,0.09327103376218525,0.13738385549314422,14.524688266838957,0.1402154710987426,14.65579603696586,0.7922012428620128,0.20779875713798723,0.1311077701269029,0.034390291518702876,True,ok,10,ok
6,160.59623767433408,0.26056944016467587,0.027069032504045284,51.26446338030796,81.97147145185619,0.28488031651651985,0.02200865315660611,0.1256104850673418,137.6935902131511,296.8703814689105,11.037007306704085,683.4573941963048,45.337406376202935,0.9771558712159369,0.9009549913121612,0.4130514187954312,0.9923484537585467,0.3258048177058254,0.025170307718409824,0.5675005452595323,0.6741951822941745,2869.462097506985,13.637862838921272,174.2476492048361,0.08445017177450376,0.8433865435450048,0.8954103449453633,0.9493907386582771,1.0326943607900791,0.39619041023995827,0.6115440247673225,0.3067481275240587,0.6004350224550467,0.7779499329180589,0.25031279729719397,0.5179778592369446,0.19473082386588372,0.12958540783837671,10.33784420060256,0.1180360733544676,10.433596963423282,0.7084754009623101,0.2915245990376899,0.09575276282072215,0.03940050106206445,True,ok,10,ok
7,205.3014626851447,0.09754402486422198,0.02607759311071184,56.59227607255252,36.144823236975995,0.2891598874399553,0.04204273109919796,0.1326195692563103,197.00145905168463,193.32155409565885,55.26641221394102,700.1032516961011,56.99640397863523,0.9775459568541757,0.8872121397157441,0.5664566462639075,0.9026931624417067,0.3333714679175208,0.04847092418623122,0.5361778122045364,0.6666285320824792,2977.8455300618293,22.21937303931597,83.81327491210537,5.377799795731634,0.8283405243210847,0.884664776178005,0.9220356429780566,1.0502595518069282,0.4448015209048023,0.7755264379270417,0.5399280795727046,0.652149526097122,0.7948293668362185,0.304292410011137,0.6084803953880994,0.241860543582219,0.1290061578469249,17.883420638628884,0.1258339889294354,17.970169390097286,0.7114844229363595,0.2885155770636405,0.08674875146840333,0.03517767259915885,True,ok,10,ok
8,89.46559558278649,0.20965885722976546,0.03208122681184479,73.1597563252153,34.55444687649826,0.277836826290328,0.013473254760301638,0.12426480717732158,247.3416742296628,171.17270976096617,64.68173054351965,737.5855525971485,42.150700318360094,0.977928010127121,0.9537132326790428,0.7646828776433798,0.9404453538075132,0.31726123212520624,0.015385078583943291,0.5844251117720487,0.6827387678747938,2742.771565573097,11.448646523844387,40.27986948693551,3.8520975776370827,0.8619782332835384,0.9165669467584545,0.9423593892763228,1.0301627484385698,0.31511646231452556,0.24177277329496988,0.24301400636720188,0.49455916604368705,0.7910625318255062,0.1625581738053826,0.3498213965457452,0.12859368053941664,0.1314230967617188,12.576817664121727,0.12464479681824071,12.69699017764899,0.7534951363230201,0.24650486367697988,0.12017251352726313,0.039314267122301266,True,ok,10,ok
9,208.37484852510883,0.23449567912590275,0.030033431058423744,56.90773884374284,83.26376243288118,0.22896351789366515,0.025247032295470616,0.14132393666893764,170.59090108845888,335.90947460494846,2.4516841320807017,800.3838453449257,68.87832471370831,0.9625459647796188,0.9957454386469711,0.20761852429372474,0.9035574184778654,0.2666471416536836,0.029402277964439574,0.6044655131419266,0.7333528583463165,4000.0,0.7257894549493379,200.0,0.23644674677471686,0.8314644062934156,0.8906665042564922,0.929488602675347,1.0467335636193569,0.44291352203117046,0.7151378867422495,0.7775664942741662,0.5888809173811981,0.7013266686136624,0.27462168110470725,0.7552850315702063,0.1925995087382479,0.1344606880749784,10.29286268760424,0.12242055598613241,10.380793939291403,0.6896159473311374,0.3103840526688626,0.08793125168716359,0.03957631542676957,True,ok,10,ok
10,158.09302064343075,0.2542877438659423,0.016854689924620733,50.43615106581353,70.82914157390817,0.23230171574428454,0.0391893464720556,0.1203203972035973,102.1053866387922,206.20642389900624,101.46812266628062,582.8020639972162,69.49540488277557,0.9847980669463625,0.9106308521213156,0.8063475726274247,0.946404601089934,0.2640753690387085,0.044549568214924014,0.6081885405800626,0.7359246309612915,1829.102623276157,9.125071397732471,39.93237452786077,5.438224510954823,0.8885300745567395,0.9239033834567814,0.9365113055359295,1.0489791406870634,0.2711771409206817,0.6445033435024927,0.7899080976555115,0.3905896370009873,0.7250819008540517,0.11559157027404546,0.3221303221342613,0.08381335549700958,0.13076826049398949,12.347992987401522,0.12366448079128722,12.512030977548026,0.8055067978699316,0.19449320213006838,0.1640379901465035,0.039607702950417295,True,ok,10,ok
11,197.6317969023874,0.16026211550311464,0.016213575302313998,68.79638277069509,77.77208957197698,0.23471570391052007,0.04467182303089767,0.12892966662091954,22.589747215018395,304.0422187835796,117.74231955069897,568.9967714770944,32.5258607458332,0.9918760931006202,0.8918798577157103,0.33000769420038045,0.9338210452468362,0.2694566614385825,0.051283830155947896,0.5916828064376627,0.7305433385614175,1047.4126081964266,2.4424066830539255,200.0,7.792063638078263,0.8912956891900689,0.9262358025232362,0.9610470177688664,1.0699706624887246,0.29125200073844243,1.0,0.050517214916663986,0.4570553085374652,0.765425590288535,0.15899120778236628,0.4310525006698195,0.12169593906750482,0.14456491994520548,12.762116414667982,0.13736411546210614,12.872917806356364,0.7226134156432991,0.27738658435670094,0.11080139168838153,0.042532866006989016,True,ok,10,ok
12,103.17641870182217,0.1384593120599977,0.028661959664579975,48.6319596649468,57.72421232491489,0.2745282496199858,0.042000985938400535,0.0923853694808571,191.5649738917477,381.8159264682742,34.48692545068596,838.6729080619498,63.13695308430302,0.961695341408514,0.970084249846159,0.7378746706754549,0.9791608809249928,0.30247226123157517,0.04627623280419858,0.5910853949607566,0.6975277387684249,3538.7900368125233,5.730809897172591,100.08362546685268,0.7186771459977425,0.8475751317179339,0.8959347108687467,0.9341752116111124,1.0318607107837379,0.40061077817632545,0.7736474365399513,0.6627390616860604,0.4677696407937678,0.7627763614983207,0.14971715984267317,0.34526098867603855,0.11420071043865673,0.12993807172956442,16.41457649620373,0.12430627509506711,16.553852107336187,0.7922988835463897,0.20770111645361033,0.139275611132457,0.03651109515324273,True,ok,10,ok
13,191.69745749274898,0.17332572842552718,0.03178825060194683,52.32274517420266,32.94543888865377,0.2664574577124023,0.04569128876391429,0.16946181791144974,188.84304720923586,499.6320654450839,35.95953853341826,488.4760596046959,51.01948968876866,0.9513391098426914,0.9600707509509485,0.6446641475522072,0.9672578786609773,0.3208250547161397,0.05501407370461239,0.5183894356122336,0.6791749452838602,4000.0,7.540361063199366,177.53718588518026,1.1773915739564416,0.8265962203300559,0.8778208300824828,0.9321878999021467,1.0409253316280669,0.4711323952269944,0.9606900752990655,0.42038979377537317,0.6686558123763228,0.7715454678346698,0.339460179098521,0.7186248242652883,0.2619089626938092,0.1297857744879646,13.922070532763009,0.12353835030093666,14.001678542754217,0.6784528128198817,0.3215471871801183,0.07960800999120785,0.03772956822639842,True,ok,10,ok
14,171.7750111609212,0.13428779500510252,0.022398385054927413,43.97254484515814,88.39103947069708,0.2587964052453029,0.04354719711156731,0.14849367207627065,150.08793995546105,233.127975843245,57.42736857256165,828.5308012244532,34.54535088304498,0.9571123303612821,0.9286066200065172,0.3362449468361527,0.9279320926987279,0.3039277533924371,0.05114136640387702,0.5491627255668592,0.6960722466075628,4000.0,10.715285329679265,154.7398719998132,4.13867027484336,0.8124647364443944,0.8761319061379196,0.9299536710691078,1.045722472527407,0.505904643594695,0.9207947759996731,0.09090701766089965,0.5333259478816657,0.7637960036663896,0.2139123371620562,0.48991393330640165,0.16338538825931584,0.14296645700205105,13.801216927299318,0.13481149824273175,13.883533320181694,0.6731121934011625,0.32688780659883754,0.08231639288237688,0.03997583965978096,True,ok,10,ok
15,203.42578049064704,0.24829234648838538,0.012798620081401712,54.42291816729534,54.63057628954493,0.25136167048131636,0.02127130057826158,0.1783890967115221,1.0124851537395432,408.77157330777146,79.54104463863834,674.014131244533,64.13967740609687,0.9888434618943591,0.8720404835473838,0.37739425438825314,0.9504334153179377,0.30593760315892515,0.025889749628593917,0.5489779322288999,0.6940623968410748,1990.2047550929522,0.1295571106879647,200.0,3.942577924780766,0.877597033700044,0.9226797430420774,0.9461600895286034,1.0633687605863427,0.3075689268438339,0.6665603672039584,0.6827935481219373,0.46286660365785093,0.7650340087559395,0.13292561055397678,0.30156040614180685,0.10169261270843968,0.11800915861142515,17.67190174348911,0.10995035299057086,18.00209312219957,0.8953927934184747,0.10460720658152534,0.33019137871046284,0.03857569328019045,True,ok,10,ok
